################################################################################ 
# 
# Generated by: SpyGlass Physical 
# Generated on: Thu Sep 10 04:33:35 2015 
# Hostname    : localhost.localdomain 
# Version     : 5.5.0.2 
# Module Name : openMSP430 
# Command     : report physical.wirelength -total -detail -rpt WLnets.out 
# 
################################################################################ 
Steiner Estimate 
--------------------------------------------------------------------- 
                                                NET  NUM_PINS  LENGTH 
                        execution_unit_0/reg_src[7]         3   34.13 
                                   dbg_mem_dout[14]         4   33.94 
                            multiplier_0/rtlc_N2285        17   33.93 
                                               scg1         2   33.88 
                                   dbg_0/rtlc_N2846        17   33.85 
                                  dbg_0/dbg_din[10]         4   33.81 
                                    per_dout_mpy[3]         2   33.79 
                                   dbg_0/dbg_din[8]         4   33.63 
                        execution_unit_0/alu_out[0]         7   33.62 
                            multiplier_0/rtlc_N2326        16   33.49 
                                multiplier_0/op1[9]         3   33.38 
                                       dmem_dout[6]         3   33.38 
                                       dmem_dout[2]         3   33.30 
                                              smclk         2   33.28 
                                        pmem_din[5]         2   33.17 
                                       dmem_dout[4]         3   33.16 
                                             oscoff         2   33.14 
                                   dbg_0/rtlc_N2736         6   33.08 
                                         cpu_id[11]         2   32.94 
                                   dbg_0/rtlc_N2858        18   32.92 
                                       dmem_dout[0]         3   32.91 
                       execution_unit_0/reg_dest[5]         4   32.90 
                  execution_unit_0/alu_0/rtlc_N2207        17   32.88 
                  execution_unit_0/alu_0/rtlc_N1479         5   32.88 
                                       pmem_addr[0]         2   32.74 
                   execution_unit_0/alu_out_add[15]         3   32.71 
                                        per_dout[0]         2   32.70 
                                   dbg_0/rtlc_N2765         5   32.69 
                  execution_unit_0/alu_0/rtlc_N1241         4   32.68 
                                        pmem_din[9]         2   32.64 
                            multiplier_0/rtlc_N2597        18   32.58 
                        dbg_0/dbg_uart_0/rtlc_N1877        17   32.54 
                                  dbg_0/dbg_din[12]         4   32.50 
                                          pc_sw[12]         3   32.50 
                            multiplier_0/rtlc_N2542        18   32.41 
                                           pmem_cen         2   32.41 
                                          exec_done         5   32.24 
                 mem_backbone_0/pmem_dout_bckup_sel        17   32.23 
                                        per_dout[3]         2   32.18 
                         dbg_0/dbg_uart_0/cmd_valid         9   32.13 
                              multiplier_0/sign_sel         6   31.93 
                                   per_dout_wdog[4]         2   31.93 
                          execution_unit_0/reg_incr         3   31.92 
                                    dbg_mem_dout[6]         4   31.88 
                                         fe_mab[14]         3   31.80 
                                      dmem_dout[11]         3   31.78 
   execution_unit_0/register_file_0/reg_incr_val[4]         3   31.72 
                        execution_unit_0/rtlc_N2926        18   31.63 
                                  dbg_0/dbg_din[13]         4   31.60 
                             multiplier_0/op2_xp[1]         2   31.49 
                                        pmem_din[1]         2   31.46 
                  execution_unit_0/alu_0/rtlc_N1684         4   31.41 
                        execution_unit_0/rtlc_N2761        18   31.40 
                                    dbg_mem_dout[2]         4   31.36 
                  execution_unit_0/alu_0/rtlc_N1340         4   31.32 
   execution_unit_0/register_file_0/reg_incr_val[6]         3   31.32 
                               multiplier_0/op1[13]         3   31.31 
                         execution_unit_0/op_dst[8]         2   31.25 
                                          fe_mab[8]         3   31.22 
                                    dbg_mem_dout[5]         4   31.14 
                                   per_dout_mpy[12]         2   31.09 
                       execution_unit_0/reg_dest[8]         4   30.94 
                       execution_unit_0/alu_out[12]         4   30.78 
                            multiplier_0/rtlc_N2277        17   30.76 
                       execution_unit_0/reg_src[13]         3   30.74 
   execution_unit_0/register_file_0/reg_incr_val[1]         3   30.65 
                              frontend_0/rtlc_N4746         4   30.64 
                  execution_unit_0/alu_0/rtlc_N2728        17   30.57 
                                         fe_mab[11]         3   30.55 
                                       dbg_0/dbg_wr         7   30.54 
                                      eu_mdb_in[10]         5   30.52 
                        execution_unit_0/rtlc_N2768        17   30.50 
                                  per_dout_wdog[12]         2   30.47 
                  execution_unit_0/alu_0/rtlc_N2203        14   30.45 
        execution_unit_0/register_file_0/rtlc_N9394         2   30.39 
                        execution_unit_0/rtlc_N2908        18   30.38 
                                          fe_mab[7]         3   30.36 
                                       fe_pmem_wait         2   30.34 
        execution_unit_0/register_file_0/rtlc_N9418        15   30.29 
                                   dbg_0/rtlc_N2868        16   30.14 
                                   per_dout_wdog[5]        11   30.14 
               execution_unit_0/register_file_0/VSS        16   30.04 
                                   per_dout_wdog[0]         2   30.03 
                  execution_unit_0/alu_0/rtlc_N2233         9   29.86 
                  execution_unit_0/alu_0/rtlc_N1048         4   29.80 
                             multiplier_0/op2_xp[5]         2   29.67 
                            multiplier_0/rtlc_N2307        17   29.66 
                                     eu_mdb_out[13]         2   29.59 
                             multiplier_0/op2_xp[3]         2   29.58 
                              frontend_0/rtlc_N4838        11   29.48 
                          mem_backbone_0/rtlc_N2491         3   29.48 
        execution_unit_0/register_file_0/rtlc_N8687        15   29.44 
                       execution_unit_0/alu_out[15]         4   29.29 
   execution_unit_0/register_file_0/reg_incr_val[2]         3   29.29 
                                   dbg_0/rtlc_N2852        17   29.25 
                        mem_backbone_0/fe_pmem_save        18   29.25 
   dbg_0/dbg_uart_0/sync_cell_uart_rxd/data_sync[1]         2   29.18 
